Protein,Initial_RMSD_loss,Initial_Steric_loss,Initial_Angle_Dev_loss,Final_RMSD_loss,Final_Steric_loss,Final_Angle_Dev_loss
Tca09g01930.t1,0.138,6.535,0,0.122,0.007,0.002
Tca09g01931.t1,0.138,3.308,0,0.11,0.002,0.002
Tca09g01932.t1,0.198,7.624,0,0.163,0.091,0.002
Tca09g01933.t1,0.147,1.708,0,0.124,0.344,0.002
Tca09g01934.t1,0.146,1.086,0,0.119,0.048,0.003
Tca09g01936.t1,0.174,4.432,0,0.145,0.061,0.007
Tca09g01937.t1,0.144,1.53,0,0.127,0.073,0.003
Tca09g01938.t1,0.179,6.435,0,0.147,0.01,0.002
Tca09g01939.t1,0.146,5.361,0,0.12,0.003,0.002
Tca09g01940.t1,0.219,1.78,0,0.167,0.014,0.006
Tca09g01941.t1,0.152,9.38,0,0.129,0.184,0.002
Tca09g01942.t1,0.191,23.302,0,0.172,2.551,0.004
Tca09g01943.t1,0.151,6.646,0,0.126,0.004,0.002
Tca09g01944.t1,0.159,2.564,0,0.123,0.142,0.005
Tca09g01945.t1,0.18,10.939,0,0.155,1.952,0.003
Tca09g01945.t2,0.168,4.7,0,0.137,0.005,0.002
Tca09g01945.t3,0.178,6.181,0,0.148,0.118,0.003
Tca09g00643.t1,0.198,8.877,0,0.165,0.01,0.007
Tca09g00644.t1,0.142,6.755,0,0.115,0.05,0.002
Tca09g00645.t1,0.217,2.905,0,0.164,0.003,0.006
Tca09g00646.t1,0.296,20.832,0,0.225,0.476,0.006
Tca09g00646.t2,0.291,19.58,0,0.222,0.25,0.005
Tca09g00647.t1,0.154,9.484,0,0.138,0.089,0.003
Tca09g00649.t1,0.167,62.829,0,0.207,0.181,0.019
Tca09g00650.t1,0.139,1.118,0,0.107,0.001,0.003
Tca09g00651.t1,0.141,2.931,0,0.111,0.001,0.002
Tca09g00652.t1,0.139,0.92,0,0.109,0.001,0.002
Tca09g00653.t1,0.275,7.22,0,0.215,0.474,0.006
Tca09g00654.t1,0.175,3.283,0,0.134,0.077,0.004
Tca09g00655.t1,0.185,20.076,0,0.168,0.061,0.004
Tca09g00656.t1,0.166,21.879,0,0.149,4.387,0.003
Tca09g00657.t1,0.185,2.77,0,0.148,0.037,0.003
Tca09g00658.t1,0.154,11.46,0,0.138,0.223,0.002
Tca09g00659.t1,0.184,2.729,0,0.148,0.042,0.003
Tca09g00660.t1,0.178,2.464,0,0.145,0.044,0.003
Tca09g00661.t1,0.197,8.164,0,0.15,0.005,0.006
Tca09g01419.t1,0.144,5.31,0,0.123,0.006,0.002
Tca09g01420.t1,0.145,6.554,0,0.121,0.01,0.002
Tca09g01421.t1,0.143,7.931,0,0.117,0.075,0.002
Tca09g01422.t1,0.166,2.611,0,0.132,0.014,0.004
Tca09g01423.t1,0.178,3.737,0,0.146,0.023,0.003
Tca09g01424.t1,0.137,3.533,0,0.113,0.006,0.002
Tca09g01424.t2,0.136,3.627,0,0.113,0.006,0.002
Tca09g01425.t1,0.14,5.19,0,0.114,0.048,0.001
Tca09g01426.t1,0.137,4.965,0,0.109,0.006,0.002
Tca09g01427.t1,0.142,2.52,0,0.114,0.107,0.001
Tca09g01428.t1,0.145,3.124,0,0.117,0.143,0.002
Tca09g01429.t1,0.18,1.893,0,0.128,0.002,0.007
Tca09g01430.t1,0.135,0.382,0,0.11,0.007,0.004
Tca09g01432.t1,0.153,1.089,0,0.114,0.007,0.003
Tca09g01433.t1,0.142,3.465,0,0.118,0.008,0.002
Tca09g01434.t1,0.152,7.006,0,0.128,0.084,0.002
Tca09g01435.t1,0.163,4.2,0,0.144,0.294,0.004
Tca09g01436.t1,0.166,1.082,0,0.124,0.029,0.003
Tca09g01437.t1,0.26,2.202,0,0.169,0.003,0.014
Tca09g01869.t1,0.211,14.729,0,0.178,0.444,0.005
Tca09g01869.t2,0.207,7.05,0,0.166,0.084,0.004
Tca09g01870.t1,0.176,6.454,0,0.134,2.326,0.003
Tca09g01871.t1,0.128,0.272,0,0.096,0.002,0.003
Tca09g01872.t1,0.167,3.011,0,0.132,0.195,0.003
Tca09g01873.t1,0.179,5.947,0,0.147,0.003,0.004
Tca09g01874.t1,0.233,5.83,0,0.175,0.041,0.009
Tca09g01875.t1,0.147,3.743,0,0.121,0.003,0.003
Tca09g01876.t1,0.208,7.217,0,0.162,0.023,0.006
Tca09g01877.t1,0.172,1.689,0,0.125,0.002,0.006
Tca09g01878.t1,0.187,2.65,0,0.149,0.341,0.004
Tca09g01879.t1,0.196,6.085,0,0.164,0.041,0.006
Tca09g01366.t1,0.33,20.241,0,0.25,1.013,0.01
Tca09g01367.t1,0.234,2.189,0,0.172,0.001,0.007
Tca09g01368.t1,0.214,7.416,0,0.17,0.022,0.003
Tca09g01369.t1,0.161,2.98,0,0.125,0.058,0.002
Tca09g01370.t1,0.143,8.245,0,0.116,0.043,0.002
Tca09g01371.t1,0.161,9.925,0,0.133,0.608,0.005
Tca09g01372.t1,0.135,1.756,0,0.107,0.032,0.002
Tca09g01373.t1,0.134,5.141,0,0.103,0.001,0.003
Tca09g01374.t1,0.157,1.622,0,0.124,0.05,0.002
Tca09g01375.t1,0.164,2.6,0,0.141,0.01,0.004
Tca09g01376.t1,0.185,2.217,0,0.144,0.023,0.004
Tca09g01377.t1,0.198,3.609,0,0.145,0.026,0.007
Tca09g01379.t1,0.311,8.016,0,0.23,0.401,0.007
Tca09g01380.t1,0.162,5.201,0,0.129,0.076,0.002
Tca09g01381.t1,0.152,7.982,0,0.125,0.018,0.002
Tca09g01382.t1,0.147,0.892,0,0.103,0.028,0.003
Tca09g01383.t1,0.149,4.38,0,0.123,0.335,0.002
Tca09g01384.t1,0.16,5.92,0,0.129,0.373,0.002
Tca09g01384.t2,0.15,6.091,0,0.127,0.922,0.004
Tca09g01384.t3,0.164,6.316,0,0.131,0.494,0.003
Tca09g01385.t1,0.411,2.398,0,0.244,0.004,0.025
Tca09g01386.t1,0.216,4.103,0,0.165,0.004,0.004
Tca09g01386.t2,0.22,8.501,0,0.167,0.044,0.004
Tca09g01386.t3,0.229,4.988,0,0.164,0.007,0.004
Tca09g01388.t1,0.137,0.686,0,0.114,0.024,0.004
Tca09g01389.t1,0.232,15.54,0,0.198,0.183,0.005
Tca09g01390.t1,0.217,16.247,0,0.176,0.003,0.007
Tca09g01391.t1,0.162,6.312,0,0.135,0.015,0.005
Tca09g01392.t1,0.192,7.768,0,0.152,0.005,0.005
Tca09g01393.t1,0.152,4.195,0,0.13,0.164,0.003
Tca09g01444.t1,0.307,6.25,0,0.201,0.06,0.015
Tca09g01461.t1,0.144,0.992,0,0.108,0.069,0.003
Tca09g01475.t1,0.16,2.027,0,0.119,0.002,0.005
Tca09g01485.t4,0.167,3.118,0,0.134,0.031,0.003
Tca09g01494.t1,0.231,3.97,0,0.171,0.003,0.006
Tca09g01508.t1,0.231,4.27,0,0.185,0.024,0.005
Tca09g01522.t1,0.201,4.581,0,0.185,0.165,0.009
Tca09g01790.t1,0.166,7.695,0,0.143,0.38,0.002
Tca09g01791.t1,0.175,6.901,0,0.149,0.127,0.002
Tca09g01792.t1,0.22,2.438,0,0.168,0.006,0.005
Tca09g01793.t1,0.207,20.338,0,0.189,0.053,0.007
Tca09g01794.t1,0.163,6.627,0,0.142,0.01,0.002
Tca09g01795.t1,0.167,8.235,0,0.14,0.048,0.002
Tca09g01796.t1,0.168,1.792,0,0.138,0.253,0.003
Tca09g01797.t1,0.149,5.897,0,0.114,0.025,0.002
Tca09g01798.t1,0.154,2.531,0,0.117,0.104,0.003
Tca09g01799.t1,0.198,3.023,0,0.16,0.002,0.008
Tca09g01800.t1,0.143,13.37,0,0.132,0.112,0.002
Tca09g01801.t1,0.201,8.371,0,0.165,0.003,0.003
Tca09g01803.t1,0.141,4.762,0,0.115,0.001,0.002
Tca09g01804.t1,0.136,2.304,0,0.11,0.001,0.002
Tca09g01805.t1,0.146,5.211,0,0.127,0.002,0.002
Tca09g01806.t1,0.151,2.093,0,0.113,0.002,0.003
Tca09g01807.t1,0.144,4.168,0,0.118,0.002,0.002
Tca09g01808.t1,0.163,4.763,0,0.13,0.09,0.003
Tca09g01809.t1,0.167,2.81,0,0.136,0.002,0.002
Tca09g01810.t1,0.22,2.479,0,0.158,0.001,0.01
Tca09g01811.t1,0.165,5.018,0,0.131,0.183,0.003
Tca09g01812.t1,0.256,1.893,0,0.176,0.004,0.011
Tca09g01813.t1,0.226,4.035,0,0.143,0.002,0.012
Tca09g01814.t1,0.224,3.752,0,0.176,0.071,0.003
Tca09g01816.t1,0.23,3.324,0,0.173,0.252,0.005
Tca09g01817.t1,0.191,1.585,0,0.173,0.012,0.005
Tca09g01818.t1,0.194,0.7,0,0.144,0.032,0.008
Tca09g01818.t2,0.2,1.254,0,0.15,0.025,0.008
Tca09g01819.t1,0.148,6.678,0,0.124,0.109,0.003
Tca09g01820.t1,0.136,1.66,0,0.107,0.042,0.002
Tca09g01821.t1,0.134,3.456,0,0.108,0.002,0.002
Tca09g01822.t1,0.139,4.631,0,0.117,0.004,0.002
Tca09g01823.t1,0.157,4.699,0,0.129,0.012,0.002
Tca09g01868.t1,0.159,1.045,0,0.122,0.009,0.004
Tca09g01880.t1,0.225,14.112,0,0.2,0.138,0.009
Tca09g01898.t1,0.131,4.818,0,0.098,0.013,0.002
Tca09g01910.t1,0.166,1.754,0,0.126,0.004,0.004
Tca09g01922.t1,0.16,12.438,0,0.164,0.102,0.005
Tca09g01935.t1,0.149,1.562,0,0.117,0.003,0.005
Tca09g01946.t1,0.318,68.43,0,0.254,1.484,0.008
Tca09g01963.t1,0.157,0.294,0,0.122,0.002,0.006
Tca09g00690.t1,0.137,0.846,0,0.105,0.002,0.004
Tca09g00691.t1,0.164,38.008,0,0.159,5.624,0.005
Tca09g00692.t1,0.158,25.145,0,0.148,2.517,0.005
Tca09g00693.t1,0.154,20.021,0,0.146,1.961,0.004
Tca09g00694.t1,0.151,33.94,0,0.137,4.737,0.004
Tca09g00695.t1,0.156,8.369,0,0.134,0.037,0.002
Tca09g00716.t1,0.156,16.284,0,0.137,0.111,0.001
Tca09g00717.t1,0.161,1.891,0,0.137,0.155,0.006
Tca09g00718.t1,0.155,10.559,0,0.134,0.223,0.003
Tca09g00719.t1,0.172,3.359,0,0.126,0.003,0.005
Tca09g00720.t1,0.142,5.043,0,0.115,0.2,0.002
Tca09g00721.t1,0.211,3.754,0,0.163,0.003,0.004
Tca09g00723.t1,0.182,5.025,0,0.173,0.401,0.009
Tca09g00724.t1,0.149,6.521,0,0.123,0.052,0.002
Tca09g00725.t1,0.308,1.491,0,0.214,0.01,0.016
Tca09g00726.t1,0.175,5.661,0,0.154,0.092,0.004
Tca09g00727.t1,0.19,4.681,0,0.154,0.1,0.004
Tca09g00727.t2,0.197,1.419,0,0.155,0.006,0.003
Tca09g00728.t1,0.157,4.216,0,0.128,0.197,0.002
Tca09g00729.t1,0.132,0.795,0,0.097,0.008,0.003
Tca09g00730.t1,0.179,8.52,0,0.145,0.111,0.005
Tca09g00730.t2,0.172,16.1,0,0.166,0.253,0.006
Tca09g00731.t1,0.16,7.107,0,0.134,0.024,0.005
Tca09g00732.t1,0.217,3.576,0,0.177,0.076,0.009
Tca09g00733.t1,0.196,14.379,0,0.166,0.073,0.003
Tca09g00735.t1,0.174,0.894,0,0.136,0.002,0.006
Tca09g00736.t1,0.16,3.054,0,0.135,0.024,0.003
Tca09g00737.t1,0.226,9.459,0,0.178,0.535,0.004
Tca09g00737.t2,0.247,14.809,0,0.193,1.142,0.004
Tca09g00738.t1,0.154,6.553,0,0.128,0.1,0.002
Tca09g00739.t1,0.162,10.71,0,0.144,0.426,0.002
Tca09g00740.t1,0.166,8.126,0,0.143,0.66,0.003
Tca09g00741.t1,0.253,10.464,0,0.212,0.563,0.004
Tca09g00741.t2,0.308,22.598,0,0.246,0.608,0.007
Tca09g00742.t1,0.135,7.403,0,0.114,0.009,0.002
Tca09g00743.t1,0.156,2.375,0,0.129,0.025,0.002
Tca09g00744.t1,0.169,4.404,0,0.136,0.021,0.003
Tca09g00849.t1,0.216,2.395,0,0.151,0.031,0.009
Tca09g00850.t1,0.23,13.585,0,0.172,0.837,0.004
Tca09g00851.t1,0.197,33.672,0,0.166,0.226,0.003
Tca09g00852.t1,0.17,0.641,0,0.144,0.007,0.005
Tca09g00853.t1,0.16,14.438,0,0.137,0.024,0.002
Tca09g00854.t1,0.163,6.477,0,0.129,0.037,0.004
Tca10g00502.t1,0.154,2.684,0,0.121,0.041,0.003
Tca10g00502.t2,0.152,4.479,0,0.136,0.054,0.003
Tca10g00503.t1,0.282,5.762,0,0.203,0.009,0.01
Tca10g00504.t1,0.185,8.399,0,0.159,0.184,0.003
Tca10g00505.t1,0.181,1.454,0,0.137,0.184,0.005
Tca10g00506.t1,0.169,16.703,0,0.14,0.127,0.002
Tca10g00507.t1,0.238,2.727,0,0.169,0.307,0.013
Tca10g00507.t2,0.224,3.208,0,0.162,0.588,0.008
Tca10g00508.t1,0.238,3.208,0,0.171,0.02,0.007
Tca10g00509.t1,0.173,5.517,0,0.132,0.024,0.002
Tca10g00509.t2,0.172,6.609,0,0.131,0.011,0.002
Tca10g00510.t1,0.183,42.476,0,0.161,0.105,0.003
Tca10g00511.t1,0.15,13.92,0,0.125,0.005,0.002
Tca10g00512.t1,0.178,6.458,0,0.139,0.016,0.003
Tca10g00513.t1,0.191,4.913,0,0.143,0.001,0.007
Tca10g00514.t1,0.314,17.247,0,0.208,0.102,0.01
Tca10g00515.t1,0.165,14.392,0,0.142,0.093,0.002
Tca10g00516.t1,0.163,14.091,0,0.139,0.473,0.002
Tca10g00517.t1,0.273,1.886,0,0.214,0.031,0.008
Tca09g01704.t1,0.248,5.436,0,0.173,0.051,0.007
Tca09g01705.t1,0.231,2.933,0,0.152,0.001,0.01
Tca09g01706.t1,0.188,13.372,0,0.16,0.135,0.003
Tca09g01707.t1,0.218,1.5,0,0.171,0.04,0.009
Tca09g01708.t1,0.179,0.835,0,0.14,0.002,0.008
Tca09g01709.t1,0.181,16.287,0,0.174,0.05,0.006
Tca09g01711.t1,0.139,4.818,0,0.12,0.283,0.002
Tca09g01712.t1,0.147,6.039,0,0.126,0.013,0.003
Tca09g01713.t1,0.154,8.473,0,0.124,0.001,0.002
Tca09g01714.t1,0.148,3.033,0,0.124,0.004,0.002
Tca09g01715.t1,0.146,6.515,0,0.122,0.003,0.002
Tca09g01716.t1,0.252,2.234,0,0.176,0.114,0.008
Tca09g01055.t1,0.162,2.265,0,0.131,0.006,0.002
Tca09g01056.t1,0.154,10.491,0,0.133,0.012,0.001
Tca09g01057.t1,0.214,1.139,0,0.16,0.005,0.007
Tca09g01058.t1,0.162,16.402,0,0.14,0.362,0.002
Tca09g01059.t1,0.292,8.064,0,0.202,0.075,0.008
Tca09g01060.t1,0.145,6.594,0,0.123,0.396,0.002
Tca09g02063.t1,0.144,7.885,0,0.122,0.004,0.003
Tca09g02064.t1,0.188,2.574,0,0.141,0.012,0.007
Tca09g02065.t1,0.232,7.327,0,0.181,0.17,0.003
Tca09g02066.t1,0.186,4.981,0,0.144,0.022,0.004
Tca09g02067.t1,0.224,14.758,0,0.18,0.265,0.004
Tca09g02068.t1,0.215,10.611,0,0.173,0.058,0.003
Tca09g02144.t1,0.15,9.49,0,0.125,0.168,0.002
Tca09g02145.t1,0.169,1.376,0,0.124,0.051,0.002
Tca09g02145.t2,0.178,4.646,0,0.146,0.003,0.005
Tca09g02146.t1,0.182,1.057,0,0.127,0.086,0.007
Tca09g02147.t1,0.163,5.013,0,0.136,0.009,0.002
Tca09g02148.t1,0.162,27.97,0,0.156,0.064,0.007
Tca09g02150.t1,0.229,4.314,0,0.153,0.002,0.018
Tca09g02151.t1,0.236,6.339,0,0.17,0.018,0.011
Tca09g02152.t1,0.232,1.274,0,0.164,0.018,0.016
Tca09g02153.t1,0.16,3.692,0,0.123,0.002,0.002
Tca09g02154.t1,0.286,0.915,0,0.191,0.001,0.015
Tca09g02155.t1,0.149,2.031,0,0.127,0.025,0.006
Tca09g02156.t1,0.175,3.343,0,0.137,0.188,0.005
Tca09g02157.t1,0.137,1.244,0,0.113,0.003,0.003
Tca09g02158.t1,0.166,5.918,0,0.134,0.264,0.002
Tca09g02158.t2,0.166,5.978,0,0.135,0.257,0.002
Tca09g02159.t1,0.142,3.135,0,0.111,0.012,0.002
Tca09g02160.t1,0.155,5.317,0,0.131,0.111,0.002
Tca09g02162.t1,0.133,0.783,0,0.102,0.003,0.004
Tca09g02163.t1,0.19,3.604,0,0.136,0.051,0.005
Tca09g02164.t1,0.138,1.774,0,0.104,0.002,0.002
Tca09g02165.t1,0.183,23.268,0,0.163,2.525,0.004
Tca09g02166.t1,0.167,4.352,0,0.13,0.003,0.003
Tca09g02167.t1,0.196,3.758,0,0.144,0.002,0.004
Tca09g02168.t1,0.156,5.365,0,0.138,0.226,0.002
Tca09g02169.t1,0.136,6.648,0,0.121,1.776,0.001
Tca09g02169.t2,0.142,6.375,0,0.124,1.286,0.002
Tca09g02170.t1,0.221,3.26,0,0.165,1.286,0.004
Tca09g02171.t1,0.268,19.753,0,0.226,0.673,0.007
Tca09g02172.t1,0.153,4.826,0,0.13,0.025,0.002
Tca09g02173.t1,0.17,21.572,0,0.144,0.527,0.002
Tca09g02175.t1,0.14,1.422,0,0.11,0.001,0.001
Tca09g02176.t1,0.144,19.353,0,0.124,0.046,0.002
Tca09g02176.t2,0.145,6.688,0,0.123,0.058,0.002
Tca09g02177.t1,0.163,2.638,0,0.125,0.002,0.004
Tca09g02178.t1,0.18,11.205,0,0.156,0.312,0.002
Tca09g02179.t1,0.153,3.572,0,0.131,0.372,0.006
Tca09g02174.t1,0.144,0.146,0,0.107,0.002,0.004
Tca10g00008.t1,0.184,9.202,0,0.149,0.304,0.002
Tca10g00020.t1,0.177,27.458,0,0.154,0.233,0.002
Tca10g00033.t1,0.189,16.382,0,0.158,0.156,0.002
Tca10g00047.t1,0.141,1.064,0,0.1,0,0.005
Tca10g00058.t1,0.132,4.107,0,0.107,0.016,0.001
Tca10g00072.t1,0.193,2.332,0,0.149,0.743,0.004
Tca10g00088.t1,0.131,4.525,0,0.105,0.067,0.001
Tca10g00102.t1,0.173,25.071,0,0.163,0.521,0.003
Tca10g00118.t1,0.14,7.43,0,0.119,0.022,0.002
Tca10g00134.t1,0.133,2.918,0,0.111,0.07,0.002
Tca10g00146.t1,0.145,3.172,0,0.113,0.018,0.002
Tca09g02180.t1,0.165,0.571,0,0.12,0.001,0.006
Tca09g02181.t1,0.176,7.914,0,0.141,0.32,0.003
Tca09g02182.t1,0.237,5.847,0,0.196,0.003,0.006
Tca10g00001.t1,0.219,1.661,0,0.155,0.027,0.007
Tca10g00001.t2,0.259,5.679,0,0.188,0.584,0.007
Tca10g00002.t1,0.22,2.464,0,0.167,0.142,0.006
Tca10g00003.t1,0.207,8.046,0,0.156,0.006,0.004
Tca10g00004.t1,0.151,11.998,0,0.141,0.403,0.004
Tca10g00005.t1,0.136,1.459,0,0.112,0.002,0.002
Tca10g00006.t1,0.155,24.676,0,0.152,2.689,0.005
Tca10g00007.t1,0.153,14.84,0,0.142,0.036,0.005
Tca09g02070.t1,0.148,6.711,0,0.127,0.005,0.002
Tca09g02071.t1,0.147,8.262,0,0.127,0.004,0.002
Tca09g02072.t1,0.143,10.366,0,0.123,0.004,0.002
Tca09g02073.t1,0.169,25.994,0,0.166,0.097,0.006
Tca09g02074.t1,0.214,7.093,0,0.181,0.009,0.01
Tca09g02075.t1,0.146,10.269,0,0.124,0.002,0.002
Tca09g01562.t1,0.18,0.573,0,0.127,0.006,0.008
Tca09g01563.t1,0.222,3.636,0,0.16,0.159,0.007
Tca09g01564.t1,0.25,5.279,0,0.179,0.072,0.007
Tca09g01565.t1,0.203,7.787,0,0.17,0.086,0.004
Tca09g01566.t1,0.204,13.044,0,0.17,0.504,0.005
Tca09g01567.t1,0.177,2.634,0,0.138,0.074,0.003
Tca09g01568.t1,0.162,0.408,0,0.113,0.001,0.005
Tca09g01569.t1,0.198,0.847,0,0.135,0,0.008
Tca09g01570.t1,0.199,6.675,0,0.152,0.385,0.003
Tca09g01571.t1,0.142,0.593,0,0.1,0.001,0.004
Tca09g01572.t1,0.15,0.706,0,0.111,0.002,0.002
Tca09g01573.t1,0.174,2.205,0,0.137,0.001,0.003
Tca09g01574.t1,0.191,3.213,0,0.135,0.001,0.005
Tca09g01575.t1,0.15,3.897,0,0.122,0.007,0.002
Tca09g01576.t1,0.146,7.726,0,0.122,0.375,0.002
Tca09g01577.t1,0.136,1.691,0,0.1,0.001,0.003
Tca09g01523.t1,0.214,2.601,0,0.15,0.005,0.007
Tca09g01524.t1,0.16,5.692,0,0.134,0.002,0.002
Tca09g01525.t1,0.166,4.369,0,0.134,0.002,0.002
Tca09g01526.t1,0.404,244.737,0,0.367,46.037,0.009
Tca09g01526.t2,0.428,354.385,0,0.376,15.812,0.013
Tca09g01527.t1,0.189,3.93,0,0.139,0.069,0.004
Tca09g01528.t1,0.222,6.321,0,0.178,0.246,0.003
Tca09g01529.t1,0.183,1.819,0,0.138,0.141,0.009
Tca09g01530.t1,0.234,1.574,0,0.176,0.053,0.011
Tca09g01531.t1,0.188,2.463,0,0.149,0.443,0.011
Tca09g01532.t1,0.183,3.678,0,0.14,0.061,0.011
Tca09g01533.t1,0.272,16.411,0,0.201,0.388,0.005
Tca09g01535.t1,0.162,4.09,0,0.13,0.217,0.003
Tca09g01536.t1,0.132,5.481,0,0.107,0.03,0.001
Tca09g01537.t1,0.184,11.851,0,0.157,0.019,0.002
Tca09g01538.t1,0.163,10.172,0,0.141,0.539,0.003
Tca09g01539.t1,0.149,4.462,0,0.13,0.273,0.003
Tca09g01540.t1,0.141,0.716,0,0.103,0.002,0.004
Tca09g00802.t1,0.215,6.146,0,0.167,0.007,0.005
Tca09g00803.t1,0.218,5.886,0,0.173,0.196,0.005
Tca09g00804.t1,0.154,7.925,0,0.122,0.021,0.003
Tca09g00805.t1,0.165,9.336,0,0.137,0.241,0.002
Tca09g00806.t1,0.155,4.401,0,0.122,0.005,0.003
Tca09g00806.t2,0.137,8.347,0,0.108,0.013,0.002
Tca09g00808.t1,0.169,2.414,0,0.13,0.001,0.004
Tca09g00809.t1,0.271,0.432,0,0.169,0.05,0.018
Tca09g00810.t1,0.185,7.861,0,0.152,0.15,0.003
Tca09g00811.t1,0.271,6.35,0,0.196,0.247,0.006
Tca09g00812.t1,0.189,0.983,0,0.128,0,0.011
Tca09g00813.t1,0.223,12.547,0,0.175,0.027,0.01
Tca09g00868.t1,0.243,2.976,0,0.181,0.015,0.005
Tca09g00869.t1,0.159,12.633,0,0.137,0.082,0.002
Tca09g00869.t2,0.149,21.203,0,0.13,0.034,0.002
Tca09g00870.t1,0.15,2.522,0,0.114,0.002,0.002
Tca09g00871.t1,0.154,17.555,0,0.134,0.282,0.002
Tca09g00872.t1,0.214,5.839,0,0.167,0.152,0.003
Tca09g00855.t1,0.273,11.824,0,0.212,0.143,0.005
Tca09g00856.t1,0.144,6.167,0,0.121,0.108,0.002
Tca09g00857.t1,0.203,5.483,0,0.156,0.002,0.003
Tca09g00858.t1,0.245,6.708,0,0.185,0.083,0.004
Tca09g00859.t1,0.153,2.936,0,0.117,0.006,0.003
Tca09g00860.t1,0.144,4.127,0,0.116,0.061,0.002
Tca09g00862.t1,0.213,0.204,0,0.148,0.001,0.009
Tca09g00863.t1,0.195,0.694,0,0.141,0.011,0.011
Tca09g00864.t1,0.151,5.559,0,0.125,0.085,0.002
Tca09g00865.t1,0.162,8.815,0,0.135,0.207,0.002
Tca09g00866.t1,0.225,2.977,0,0.163,0.008,0.008
Tca09g00867.t1,0.28,9.617,0,0.196,0.114,0.008
Tca09g00873.t1,0.168,9.737,0,0.139,0.095,0.002
Tca09g00874.t1,0.15,4.768,0,0.117,0.038,0.002
Tca09g00874.t2,0.151,2.169,0,0.114,0.009,0.003
Tca09g00875.t1,0.163,4.058,0,0.14,0.181,0.002
Tca09g00876.t1,0.222,1.043,0,0.149,0.094,0.01
Tca09g00877.t1,0.209,0.225,0,0.141,0.003,0.011
Tca09g01469.t1,0.137,2.471,0,0.115,0.013,0.002
Tca09g01470.t1,0.137,2.634,0,0.113,0.06,0.002
Tca09g01471.t1,0.131,0.614,0,0.095,0.012,0.002
Tca09g01472.t1,0.139,2.468,0,0.101,0.006,0.003
Tca09g01473.t1,0.23,2.635,0,0.186,0.008,0.009
Tca09g01474.t1,0.322,18.317,0,0.249,1.083,0.006
Tca09g01476.t1,0.217,36.047,0,0.199,0.34,0.002
Tca09g01477.t1,0.161,2.807,0,0.132,0.002,0.005
Tca09g01478.t1,0.179,1.091,0,0.144,0.014,0.005
Tca09g01479.t1,0.202,0.984,0,0.138,0.001,0.009
Tca09g01480.t1,0.178,3.341,0,0.158,0.023,0.006
Tca09g01481.t1,0.229,10.943,0,0.173,0.172,0.003
Tca09g01649.t1,0.148,3.729,0,0.112,0.111,0.003
Tca09g01650.t1,0.239,61.697,0,0.203,0.866,0.005
Tca09g01651.t1,0.169,8.716,0,0.14,0.203,0.003
Tca09g01652.t1,0.144,11.726,0,0.126,0.405,0.003
Tca09g01653.t1,0.258,6.018,0,0.206,0.421,0.005
Tca09g01654.t1,0.15,5.648,0,0.125,0.14,0.002
Tca09g01670.t1,0.208,1.103,0,0.14,0.001,0.007
Tca09g01671.t1,0.19,0.475,0,0.14,0.04,0.006
Tca09g01672.t1,0.193,0.859,0,0.132,0.035,0.006
Tca09g01673.t1,0.194,0.819,0,0.149,0.003,0.008
Tca09g01674.t1,0.187,0.948,0,0.135,0.136,0.006
Tca09g01675.t1,0.156,7.93,0,0.135,0.293,0.002
Tca09g01676.t1,0.178,7.419,0,0.142,0.073,0.002
Tca09g01677.t1,0.22,1.407,0,0.164,0.012,0.007
Tca09g01678.t1,0.218,5.393,0,0.161,0.002,0.01
Tca09g01679.t1,0.155,7.064,0,0.132,0.106,0.002
Tca09g01680.t1,0.266,6.592,0,0.193,0.097,0.008
Tca09g01681.t1,0.196,1.51,0,0.145,0.053,0.005
Tca09g01682.t1,0.279,7.444,0,0.208,0.31,0.006
Tca09g01683.t1,0.13,0.348,0,0.1,0.004,0.003
Tca09g01541.t1,0.135,7.565,0,0.113,0.093,0.002
Tca09g01542.t1,0.134,5.244,0,0.114,0.051,0.001
Tca09g01543.t1,0.143,1.81,0,0.116,0.014,0.002
Tca09g01544.t1,0.132,3.955,0,0.111,0.037,0.001
Tca09g01545.t1,0.174,2.558,0,0.136,0.001,0.003
Tca09g01546.t1,0.21,7.089,0,0.177,0.129,0.004
Tca09g01977.t1,0.16,1.39,0,0.139,0.022,0.007
Tca09g01978.t1,0.157,1.943,0,0.132,0.038,0.005
Tca09g01979.t1,0.18,2.761,0,0.144,0.006,0.007
Tca09g01980.t1,0.142,1.384,0,0.112,0.01,0.002
Tca09g01981.t1,0.181,0.79,0,0.141,0.005,0.009
Tca09g01982.t1,0.123,2.275,0,0.103,0.067,0.003
Tca09g01983.t1,0.141,3.858,0,0.118,0.002,0.002
Tca09g01984.t1,0.159,4.952,0,0.13,0.104,0.004
Tca09g01984.t2,0.151,2.658,0,0.114,0.053,0.003
Tca09g01985.t1,0.127,3.723,0,0.099,0.007,0.002
Tca09g01986.t1,0.123,1.969,0,0.1,0.012,0.002
Tca09g01987.t1,0.126,1.48,0,0.108,0.003,0.004
Tca09g00967.t1,0.216,3.907,0,0.181,0.441,0.007
Tca09g00968.t1,0.143,7.707,0,0.121,0.743,0.002
Tca09g00969.t1,0.159,9.733,0,0.126,0.292,0.002
Tca09g00970.t1,0.154,2.787,0,0.118,0.003,0.002
Tca09g00971.t1,0.197,0.611,0,0.133,0.011,0.008
