Protein,Delta_RMSD_loss,Delta_Steric_loss,Delta_Angle_Dev_loss
Tca11g01857.t1,-0.034,-6.624,0.003
Tca11g01858.t1,-0.047,-1.645,0.01
Tca11g01859.t1,-0.049,-0.369,0.005
Tca11g01835.t1,-0.041,-0.94,0.005
Tca11g01836.t1,-0.035,-5.661,0.004
Tca11g01837.t1,-0.063,-2.2,0.01
Tca11g01838.t1,-0.091,-2.807,0.013
Tca11g01839.t1,-0.043,-4.725,0.004
Tca11g01840.t1,-0.024,-4.961,0.004
Tca11g01842.t1,-0.038,-4.712,0.003
Tca11g01843.t1,-0.027,-4.351,0.002
Tca11g01844.t1,-0.024,-4.372,0.002
Tca11g01845.t1,-0.046,-15.183,0.003
Tca11g01846.t1,-0.03,-3.909,0.004
Tca11g01847.t1,-0.042,-1.82,0.003
Tca11g01848.t1,-0.019,-5.87,0.002
Tca11g01849.t1,-0.025,-6.244,0.002
Tca11g01850.t1,-0.021,-7.571,0.002
Tca11g01851.t1,-0.027,-4.69,0.002
Tca11g01852.t1,-0.031,-0.653,0.002
Tca11g01853.t1,-0.049,-6.274,0.005
Tca11g01763.t1,-0.033,-4.951,0.004
Tca11g01764.t1,-0.007,-65.691,0.009
Tca11g01764.t2,-0.031,-12.418,0.002
Tca11g01765.t1,-0.044,-5.376,0.003
Tca11g01766.t1,-0.063,-6.96,0.007
Tca11g01767.t1,-0.047,-0.538,0.004
Tca11g01883.t2,-0.037,-1.124,0.005
Tca11g01884.t1,-0.023,-7.923,0.003
Tca11g01885.t1,-0.024,-3.047,0.002
Tca11g01886.t1,-0.066,-43.143,0.011
Tca11g01887.t1,-0.06,-4.556,0.01
Tca11g01888.t1,-0.05,-3.665,0.004
Tca11g01890.t1,-0.069,-1.978,0.007
Tca11g01890.t2,-0.071,-3.99,0.009
Tca11g01890.t3,-0.071,-4.153,0.009
Tca11g01891.t1,-0.05,-0.499,0.005
Tca11g01892.t1,-0.059,-1.189,0.006
Tca11g01893.t1,-0.053,-4.74,0.005
Tca11g01928.t1,-0.034,-3.715,0.003
Tca11g01929.t1,-0.03,-3.863,0.003
Tca11g01930.t1,-0.034,-3.814,0.003
Tca11g01931.t1,-0.054,-1.329,0.006
Tca11g01932.t1,-0.024,-5.44,0.003
Tca11g01933.t1,-0.021,-11.995,0.002
Tca11g01935.t1,-0.019,-11.25,0.002
Tca11g01936.t1,-0.039,-10.688,0.005
Tca11g01937.t1,-0.025,-1.726,0.006
Tca11g01938.t1,-0.03,-3.437,0.002
Tca11g01939.t1,-0.068,-4.427,0.008
Tca11g01940.t1,-0.049,-1.088,0.009
Tca11g01941.t1,-0.092,-6.425,0.027
Tca11g01942.t1,-0.053,-0.965,0.012
Tca11g01943.t1,-0.03,-4.36,0.011
Tca11g01944.t1,-0.072,-7.625,0.014
Tca11g01945.t1,-0.055,-0.165,0.007
Tca11g01946.t1,-0.05,-4.058,0.004
Tca11g01947.t2,-0.035,-3.017,0.002
Tca11g01948.t1,-0.045,-17.528,0.003
Tca11g01949.t1,-0.039,-5.228,0.003
Tca11g01950.t1,-0.045,-3.636,0.003
Tca11g01951.t1,-0.039,-1.302,0.003
Tca11g01952.t1,-0.038,-10.44,0.003
Tca11g01000.t1,-0.022,-13.35,0.004
Tca11g01001.t1,-0.025,-5.871,0.003
Tca11g01002.t1,-0.065,-1.154,0.007
Tca11g01003.t1,-0.025,-6.583,0.002
Tca11g01004.t1,-0.038,-2.011,0.002
Tca11g01005.t1,-0.035,-2.384,0.002
Tca11g01007.t1,-0.042,-2.403,0.005
Tca11g01008.t1,-0.043,-6.796,0.003
Tca11g01009.t1,-0.044,-17.23,0.003
Tca11g01010.t1,-0.033,-1.159,0.003
Tca11g01011.t1,-0.026,-4.169,0.002
Tca11g01012.t1,-0.025,-6.388,0.002
Tca11g01013.t1,-0.025,-4.89,0.003
Tca11g01014.t1,-0.033,-16.703,0.006
Tca11g01015.t1,-0.017,-7.439,0.003
Tca11g01016.t1,-0.026,-4.932,0.002
Tca11g01017.t1,-0.03,-5.112,0.003
Tca11g01018.t1,-0.021,-4.966,0.002
Tca11g01019.t1,0.006,-14.981,0.004
Tca11g01020.t1,-0.024,-8.196,0.002
Tca11g01021.t1,-0.053,-4.132,0.004
Tca11g01022.t1,-0.047,-6.939,0.007
Tca11g01023.t1,-0.032,-8.609,0.002
Tca11g01024.t1,-0.047,-24.394,0.004
Tca11g01226.t1,-0.033,-1.662,0.003
Tca11g01227.t1,-0.03,-6.487,0.003
Tca11g01228.t1,-0.043,-0.863,0.005
Tca11g01229.t1,-0.057,-9.399,0.008
Tca11g01230.t1,-0.035,-15.485,0.002
Tca11g01231.t1,-0.036,-14.965,0.003
Tca11g01232.t1,-0.041,-4.613,0.002
Tca11g01232.t2,-0.045,-5.533,0.003
Tca11g01233.t1,-0.022,-11.135,0.002
Tca11g01234.t1,-0.019,-6.09,0.002
Tca11g01235.t1,-0.028,-5.901,0.002
Tca11g01235.t2,-0.027,-4.88,0.002
Tca11g01236.t1,-0.027,-5.323,0.002
Tca11g01237.t1,-0.031,-4.052,0.002
Tca11g01238.t1,-0.024,-5.244,0.001
Tca11g01239.t1,-0.065,-11.295,0.006
Tca11g01240.t1,-0.021,-4.738,0.002
Tca11g01241.t1,-0.048,-2.24,0.004
Tca11g01901.t1,-0.057,-9.599,0.007
Tca11g01902.t1,-0.06,-1.418,0.009
Tca11g01903.t1,-0.052,-8.863,0.008
Tca11g01904.t1,-0.055,-1.663,0.006
Tca11g01905.t1,-0.039,-2.699,0.005
Tca11g01906.t1,-0.052,-4.945,0.007
Tca11g01894.t1,-0.064,-4.203,0.009
Tca11g01895.t1,-0.066,-1.442,0.009
Tca11g01896.t1,-0.028,-9.728,0.003
Tca11g01897.t1,-0.053,-10.267,0.006
Tca11g01898.t1,-0.062,-7.724,0.008
Tca11g01899.t1,-0.052,-6.949,0.007
Tca11g01900.t1,-0.042,-6.968,0.005
Tca11g01272.t1,-0.04,-3.305,0.004
Tca11g01273.t1,-0.024,-6.354,0.002
Tca11g01274.t1,-0.036,-4.908,0.003
Tca11g01275.t1,-0.03,-7.668,0.003
Tca11g01276.t1,-0.052,-1.046,0.007
Tca11g01277.t1,-0.03,-5.701,0.002
Tca11g01294.t1,-0.071,-21.33,0.008
Tca11g01295.t1,-0.051,-7.047,0.005
Tca11g01296.t1,-0.063,-2.166,0.007
Tca11g01297.t1,-0.023,-1.821,0.002
Tca11g01298.t1,-0.044,-1.149,0.003
Tca11g01299.t1,-0.028,-4.65,0.002
Tca11g01301.t1,-0.053,-55.551,0.009
Tca11g01302.t1,-0.086,-2.657,0.01
Tca11g01302.t2,-0.086,-2.198,0.01
Tca11g01303.t1,-0.052,-0.725,0.005
Tca11g01304.t1,-0.024,-16.982,0.002
Tca11g01305.t1,-0.025,-4.084,0.003
Tca11g01306.t1,-0.025,-2.424,0.004
Tca11g01307.t1,-0.03,-2.329,0.005
Tca11g01308.t1,-0.034,-4.928,0.004
Tca11g01309.t1,-0.024,-8.194,0.006
Tca11g01310.t1,-0.025,-2.449,0.002
Tca11g01311.t1,-0.028,-3.514,0.002
Tca11g01312.t1,-0.028,-1.717,0.002
Tca11g01313.t1,-0.028,-1.896,0.002
Tca11g01314.t1,-0.058,-22.214,0.005
Tca11g01769.t1,-0.025,-12.348,0.003
Tca11g01770.t1,-0.033,-1.969,0.003
Tca11g01771.t1,-0.031,-1.793,0.003
Tca11g01772.t1,-0.033,-6.698,0.003
Tca11g01773.t1,-0.033,-2.637,0.003
Tca11g01773.t2,-0.038,-5.412,0.005
Tca11g01774.t1,-0.045,-3.365,0.004
Tca11g01774.t2,-0.04,-9.357,0.005
Tca11g01775.t1,-0.031,-1.911,0.003
Tca11g01776.t1,-0.029,-3.798,0.003
Tca11g01777.t1,-0.026,-2.665,0.003
Tca11g01777.t2,-0.038,-3.595,0.004
Tca11g01779.t1,-0.029,-6.615,0.003
Tca11g01780.t1,-0.027,-2.597,0.002
Tca11g01781.t1,-0.029,-8.044,0.003
Tca11g01782.t1,-0.043,-6.838,0.006
Tca11g01783.t1,-0.032,-2.139,0.003
Tca11g01784.t1,-0.024,-2.079,0.002
Tca11g00948.t3,-0.051,-181.022,0.01
Tca11g00949.t1,-0.025,-8.731,0.003
Tca11g00950.t1,-0.037,-5.766,0.007
Tca11g00951.t1,-0.034,-4.798,0.003
Tca11g00952.t1,-0.021,-5.554,0.001
Tca11g00953.t1,-0.033,-20.412,0.009
Tca11g00954.t1,-0.042,-14.297,0.004
Tca11g00955.t1,-0.031,-4.151,0.002
Tca11g00956.t1,-0.035,-0.368,0.004
Tca11g00957.t1,-0.038,-3.039,0.003
Tca11g00958.t1,-0.04,-0.873,0.004
Tca11g00959.t1,-0.031,-26.705,0.005
Tca11g00960.t1,-0.023,-4.71,0.011
Tca11g00961.t1,-0.035,-4.527,0.004
Tca11g00961.t2,-0.051,-4.987,0.007
Tca11g00962.t1,-0.025,-5.036,0.002
Tca12g00040.t2,-0.068,-10.502,0.007
Tca12g00041.t1,-0.077,-0.399,0.009
Tca12g00042.t1,-0.025,-4.632,0.002
Tca12g00042.t2,-0.024,-10.941,0.002
Tca12g00043.t1,-0.055,-14.194,0.005
Tca12g00044.t1,-0.038,-4.782,0.002
Tca12g00046.t1,-0.032,-2.613,0.003
Tca12g00047.t1,-0.051,-2.071,0.004
Tca12g00048.t1,-0.046,-1.419,0.01
Tca12g00049.t1,-0.021,-5.833,0.002
Tca12g00050.t1,-0.029,-3.307,0.002
Tca12g00051.t1,-0.049,-1.015,0.006
Tca12g00052.t1,-0.051,-1.65,0.004
Tca12g00053.t1,-0.03,-10.702,0.003
Tca12g00054.t1,-0.033,-4.281,0.002
Tca12g00055.t1,-0.042,-2.864,0.005
Tca12g00056.t1,-0.021,-4.744,0.003
Tca12g00057.t1,-0.073,-9.214,0.006
Tca12g00629.t1,-0.035,-1.646,0.004
Tca12g00630.t1,-0.049,-0.199,0.006
Tca12g00631.t1,-0.027,-8.302,0.002
Tca12g00632.t1,-0.025,-6.633,0.002
Tca12g00633.t1,-0.02,-8.481,0.002
Tca12g00634.t1,-0.019,-8.286,0.002
Tca12g00635.t1,-0.038,-4.295,0.003
Tca12g00636.t1,-0.039,-1.522,0.004
Tca12g00637.t1,-0.004,-17.441,0.005
Tca12g00638.t1,-0.029,-6.013,0.002
Tca12g00639.t1,-0.028,-3.469,0.002
Tca12g00640.t1,-0.033,-5.031,0.002
Tca12g00642.t1,0,-3.69,0.007
Tca12g00643.t1,-0.065,-1.873,0.01
Tca12g00644.t1,-0.055,-1.995,0.008
Tca12g00645.t1,-0.058,-0.505,0.009
Tca12g00646.t1,-0.041,-10.475,0.006
Tca12g00647.t1,-0.047,-9.591,0.005
Tca12g00007.t1,-0.06,-2.762,0.006
Tca12g00021.t1,-0.052,-4.511,0.004
Tca12g00033.t1,-0.035,-1.826,0.009
Tca12g00045.t1,-0.04,-1.39,0.009
Tca12g00058.t1,-0.033,-1.714,0.003
Tca12g00071.t1,-0.026,-3.935,0.003
Tca12g00084.t1,-0.033,-3.756,0.002
Tca12g00096.t2,-0.029,-1.217,0.003
Tca12g00103.t1,-0.055,-8.682,0.004
Tca12g00796.t1,-0.07,-2.579,0.006
Tca12g00797.t1,-0.042,-3.144,0.007
Tca12g00798.t1,-0.044,-8.367,0.003
Tca12g00799.t1,-0.03,-4.919,0.002
Tca12g00800.t1,-0.026,-3.591,0.002
Tca12g00801.t1,-0.088,-4.052,0.012
Tca12g00358.t2,-0.07,-22.691,0.007
Tca12g00359.t1,-0.06,-1.014,0.007
Tca12g00360.t1,-0.057,-24.697,0.006
Tca12g00360.t2,-0.07,-14.331,0.006
Tca12g00360.t3,-0.064,-20.63,0.006
Tca12g00360.t4,-0.067,-13.806,0.005
Tca12g00361.t1,-0.035,-4.3,0.004
Tca12g00362.t1,-0.047,-2.836,0.004
Tca12g00363.t1,-0.033,-15.401,0.005
Tca12g00364.t1,-0.027,-3.733,0.002
Tca12g00364.t2,-0.027,-3.649,0.002
Tca12g00365.t1,-0.045,-3.199,0.003
Tca12g00367.t1,-0.044,-7.451,0.008
Tca12g00368.t1,-0.032,-3.62,0.003
Tca12g00369.t1,-0.035,-4.817,0.004
Tca12g00370.t1,-0.095,-7.372,0.009
Tca12g00370.t2,-0.091,-7.335,0.009
Tca12g00371.t1,-0.103,-10.332,0.011
Tca12g00372.t1,-0.043,-1.347,0.006
Tca12g00183.t1,-0.04,-4.078,0.004
Tca12g00184.t1,-0.066,-3.576,0.007
Tca12g00185.t1,-0.06,-0.758,0.008
Tca12g00186.t1,-0.042,-1.802,0.003
Tca12g00187.t1,-0.031,-5.985,0.003
Tca12g00188.t1,-0.027,-5.283,0.002
Tca12g00373.t1,-0.022,-5.844,0.003
Tca12g00374.t1,-0.038,-14.102,0.005
Tca12g00375.t1,-0.027,-3.151,0.001
Tca12g00376.t1,-0.051,-6.783,0.007
Tca12g00377.t1,-0.032,-7.597,0.002
Tca12g00378.t1,-0.032,-5.743,0.002
Tca12g00380.t1,-0.026,-3.469,0.003
Tca12g00381.t1,-0.045,-3.169,0.005
Tca12g00382.t1,-0.046,-0.224,0.006
Tca12g00383.t1,-0.042,-7.28,0.003
Tca12g00384.t1,-0.033,-3.604,0.003
Tca12g00385.t1,-0.034,-1.043,0.004
Tca12g00386.t1,-0.04,-7.139,0.004
Tca12g00387.t1,-0.038,-6.166,0.005
Tca12g00388.t1,-0.037,-1.149,0.003
Tca12g00389.t1,-0.012,-9.718,0.003
Tca12g00390.t1,-0.031,-9.67,0.003
Tca12g00391.t1,-0.064,-0.788,0.007
Tca12g00393.t1,-0.025,-12.897,0.002
Tca12g00394.t1,-0.03,-4.458,0.002
Tca12g00395.t1,-0.032,-4.951,0.004
Tca12g00396.t1,-0.029,-5.242,0.005
Tca12g00397.t1,-0.033,-5.44,0.01
Tca12g00398.t1,-0.038,-3.986,0.003
Tca12g00399.t1,-0.024,-34.589,0.005
Tca12g00519.t1,-0.032,-1.407,0.005
Tca12g00520.t1,-0.039,-4.35,0.003
Tca12g00521.t1,-0.023,-3.024,0.004
Tca12g00522.t1,-0.059,-13.547,0.006
Tca12g00523.t1,-0.048,-5.655,0.005
Tca12g00524.t1,-0.04,-5.685,0.002
Tca12g00526.t1,-0.023,-7.775,0.003
Tca12g00527.t1,-0.02,-12.155,0.003
Tca12g00528.t1,-0.03,-3.729,0.003
Tca12g00529.t1,-0.035,-3.556,0.01
Tca12g00530.t1,-0.039,-1.686,0.004
Tca12g00531.t1,-0.031,-1.442,0.006
Tca12g00803.t1,-0.016,-5.122,0.004
Tca12g00804.t1,-0.017,-3.044,0.004
Tca12g00805.t1,-0.016,-3.255,0.004
Tca12g00806.t1,-0.016,-3.064,0.004
Tca12g00807.t1,-0.024,-2.366,0.004
Tca12g00808.t1,-0.023,-1.586,0.003
Tca12g00809.t1,-0.061,-1.192,0.005
Tca12g00366.t1,-0.041,-1.833,0.005
Tca12g00379.t1,-0.054,-0.389,0.004
Tca12g00392.t1,-0.032,-2.139,0.003
Tca12g00406.t1,-0.039,-0.192,0.005
Tca12g00420.t1,-0.03,-3.952,0.002
Tca12g00433.t1,-0.058,-0.028,0.009
Tca12g00449.t2,-0.057,-64.663,0.008
Tca12g00462.t1,-0.063,-2.132,0.008
Tca12g00473.t1,-0.026,-11.446,0.002
Tca12g00486.t1,-0.033,-4.558,0.003
Tca12g00499.t1,-0.069,-6.666,0.005
Tca12g00510.t1,-0.033,-11.34,0.003
Tca12g00810.t1,-0.085,-0.619,0.019
Tca12g00811.t1,-0.043,-16.858,0.006
Tca12g00812.t1,-0.081,-0.664,0.008
Tca12g00813.t1,-0.07,-0.296,0.011
Tca12g00814.t1,-0.06,-7.198,0.005
Tca12g00815.t1,-0.027,-3.599,0.003
Tca12g00817.t1,-0.025,-14.902,0.002
Tca12g00818.t1,-0.021,-17.799,0.003
Tca12g00819.t1,-0.015,-11.725,0.004
Tca12g00820.t1,-0.023,-24.632,0.003
Tca12g00821.t1,-0.02,-25.05,0.006
Tca12g00822.t1,-0.023,-28.299,0.003
Tca12g00823.t1,-0.019,-18.723,0.004
Tca12g00824.t1,0.007,-16.343,0.006
Tca12g00825.t1,-0.019,-20.539,0.005
Tca12g00826.t1,-0.011,-11.7,0.004
Tca12g00827.t1,-0.035,-2.392,0.003
Tca12g00828.t1,-0.035,-1.57,0.003
Tca11g02044.t1,-0.048,-4.294,0.004
Tca11g02045.t1,-0.04,-0.252,0.003
Tca11g02046.t1,-0.034,-5.403,0.002
Tca11g02047.t1,-0.057,-3.71,0.007
Tca11g02048.t1,-0.043,-0.517,0.006
Tca11g02049.t1,-0.04,-4.357,0.004
Tca12g00830.t1,-0.045,-14.595,0.005
Tca12g00831.t1,-0.048,-21.127,0.006
Tca12g00832.t1,-0.039,-2.356,0.003
Tca12g00833.t1,-0.061,-6.115,0.013
Tca12g00834.t1,-0.033,-5.272,0.002
Tca12g00835.t1,-0.037,-2.856,0.003
Tca12g00836.t1,-0.04,-2.292,0.003
Tca12g00936.t1,-0.036,-2.191,0.007
Tca12g00937.t1,-0.024,-9.047,0.003
Tca12g00938.t1,-0.06,-3.168,0.006
Tca12g00939.t1,-0.03,-4.533,0.001
Tca12g00940.t1,-0.046,-1.715,0.003
Tca12g00941.t1,-0.065,-5.798,0.009
Tca12g00711.t1,-0.047,-0.707,0.003
Tca12g00712.t1,-0.052,-3.569,0.007
Tca12g00713.t1,-0.06,-9.138,0.005
Tca12g00714.t1,-0.059,-3.473,0.01
Tca12g00715.t1,-0.029,-1.341,0.003
Tca12g00716.t1,-0.035,-4.128,0.003
Tca12g00718.t1,-0.035,-1.835,0.002
Tca12g00719.t1,-0.045,-5.738,0.004
Tca12g00720.t1,-0.027,-5.201,0.002
Tca12g00721.t1,-0.046,-4.832,0.003
Tca12g00722.t1,-0.05,-8.364,0.003
Tca12g00723.t1,-0.038,-1.961,0.004
Tca12g00724.t1,-0.02,-3.115,0.003
Tca12g00725.t1,-0.052,-12.601,0.004
Tca12g00726.t1,-0.031,-9.697,0.003
Tca12g00727.t1,-0.024,-4.716,0.002
Tca12g00728.t1,-0.04,-4.679,0.003
Tca12g00729.t1,-0.038,-0.421,0.006
Tca12g00731.t1,-0.027,-0.973,0.004
Tca12g00732.t1,-0.02,-4.961,0.003
Tca12g00732.t2,-0.016,-4.871,0.004
Tca12g00732.t3,-0.019,-3.646,0.003
Tca12g00732.t4,-0.02,-4.338,0.004
Tca12g00733.t1,-0.018,-16.608,0.003
Tca12g00734.t1,-0.037,-1.678,0.003
Tca12g00735.t1,0.001,-9.172,0.014
Tca12g00736.t1,-0.065,-5.325,0.007
Tca12g00737.t1,-0.058,-12.192,0.005
Tca12g00737.t2,-0.056,-11.773,0.005
Tca12g00738.t1,-0.018,-6.598,0.003
Tca12g00189.t1,-0.028,-3.17,0.001
Tca12g00190.t1,-0.019,-5.978,0.002
Tca12g00191.t1,-0.027,-5.653,0.002
Tca12g00192.t1,-0.011,-7.488,0.002
Tca12g00193.t1,-0.022,-5.938,0.003
Tca12g00194.t1,-0.019,-8.95,0.003
Tca12g00218.t1,-0.022,-10.665,0.002
Tca12g00219.t1,-0.03,-17.495,0.003
Tca12g00220.t1,-0.055,-2.949,0.006
Tca12g00221.t1,-0.028,-2.218,0.002
Tca12g00222.t1,-0.027,-1.308,0.002
Tca12g00223.t1,-0.033,-3.647,0.004
Tca12g00224.t1,-0.024,-4.842,0.002
Tca12g00225.t1,-0.035,-9.701,0.004
Tca12g00226.t1,-0.025,-6.912,0.002
Tca12g00227.t1,-0.039,-3.73,0.004
Tca12g00228.t1,-0.021,-7.177,0.002
Tca12g00229.t1,-0.06,-8.52,0.006
Tca12g00231.t1,-0.029,-8.243,0.002
Tca12g00232.t1,-0.052,-1.586,0.006
Tca12g00233.t1,-0.024,-3.74,0.005
Tca12g00234.t1,-0.059,-39.472,0.008
Tca12g00235.t1,-0.041,-3.262,0.003
Tca12g00236.t1,-0.055,-1.874,0.004
Tca12g00237.t1,-0.05,-3.146,0.005
Tca12g00286.t1,-0.024,-8.182,0.003
Tca12g00287.t1,-0.07,-0.668,0.014
Tca12g00288.t1,-0.023,-7.748,0.003
Tca12g00289.t1,-0.047,-3.237,0.005
Tca12g00290.t1,-0.023,-7.156,0.001
Tca12g00291.t1,-0.038,-0.625,0.003
Tca12g00293.t1,-0.026,-7.643,0.003
Tca12g00294.t1,-0.044,-63.406,0.004
Tca12g00295.t1,-0.034,-1.293,0.004
Tca12g00296.t1,-0.037,-2.456,0.003
Tca12g00297.t1,-0.033,-1.364,0.004
Tca12g00298.t1,-0.035,-4.076,0.004
Tca12g00299.t1,-0.039,-1.436,0.003
Tca12g00300.t1,-0.027,-8.086,0.003
Tca12g00301.t1,-0.037,-4.798,0.003
Tca12g00302.t1,-0.029,-1.808,0.005
Tca12g00303.t1,-0.052,-9.308,0.004
Tca12g00304.t1,-0.046,-1.177,0.007
Tca12g00532.t1,-0.013,-12.085,0.004
Tca12g00533.t1,-0.095,-0.35,0.011
Tca12g00534.t1,-0.031,-3.156,0.001
Tca12g00535.t1,-0.064,-0.304,0.013
Tca12g00536.t1,-0.031,-1.457,0.002
Tca12g00537.t1,-0.037,-17.511,0.003
Tca12g00581.t1,-0.058,-4.506,0.007
Tca12g00582.t1,-0.066,-0.991,0.009
Tca12g00582.t2,-0.058,-1.461,0.008
Tca12g00583.t1,-0.063,-2.768,0.009
Tca12g00584.t1,-0.039,-8.866,0.003
Tca12g00585.t1,-0.055,-5.172,0.007
Tca12g00717.t1,-0.063,-0.504,0.007
Tca12g00730.t1,-0.053,-0.467,0.004
Tca12g00739.t1,-0.037,-4.248,0.003
Tca12g00751.t1,-0.023,-3.058,0.002
Tca12g00765.t1,-0.029,-9.719,0.003
Tca12g00777.t1,-0.018,-13.952,0.005
Tca12g00802.t1,-0.068,-2.266,0.012
Tca12g00586.t1,-0.053,-1.923,0.005
Tca12g00587.t1,-0.056,-5.72,0.006
Tca12g00588.t1,-0.053,-11.627,0.012
Tca12g00589.t1,-0.049,-11.834,0.005
Tca12g00590.t1,-0.059,-3.069,0.006
Tca12g00591.t1,-0.034,-6.474,0.006
Tca12g00592.t1,-0.009,-20.255,0.004
Tca12g00594.t1,-0.055,-0.409,0.007
Tca12g00595.t1,-0.02,-18.549,0.006
Tca12g00596.t1,-0.047,-6.041,0.005
Tca12g00597.t1,-0.057,-0.858,0.007
Tca12g00598.t1,-0.05,-1.105,0.005
Tca12g00599.t1,-0.067,-4.836,0.008
Tca12g00097.t1,-0.065,-3.964,0.006
Tca12g00098.t1,-0.03,-0.399,0.002
Tca12g00099.t1,-0.065,-15.902,0.006
Tca12g00100.t1,-0.027,-9.697,0.003
Tca12g00101.t1,-0.037,-17.702,0.003
Tca12g00102.t1,-0.034,-5.589,0.003
Tca12g00104.t1,-0.063,-3.057,0.009
Tca12g00105.t1,-0.038,-1.744,0.008
Tca12g00106.t1,-0.03,-3.396,0.001
Tca12g00107.t1,-0.033,-2.28,0.002
Tca12g00108.t1,-0.041,-1.266,0.005
Tca12g00109.t1,-0.053,-1.506,0.006
Tca12g00111.t1,-0.042,-3.119,0.005
Tca12g00112.t1,-0.055,-0.561,0.006
Tca12g00113.t1,-0.045,-4.053,0.006
Tca12g00114.t1,-0.037,-2.056,0.004
Tca12g00115.t1,-0.055,-2.493,0.004
Tca12g00116.t1,-0.043,-3.985,0.007
Tca12g00444.t1,-0.017,-9.138,0.003
Tca12g00445.t1,-0.025,-7.39,0.001
Tca12g00446.t1,-0.069,-0.709,0.012
Tca12g00447.t1,-0.029,-3.661,0.002
Tca12g00448.t1,-0.023,-9.142,0.001
Tca12g00449.t1,-0.063,-45.327,0.006
Tca12g00449.t3,-0.078,-39.676,0.009
Tca12g00450.t1,-0.028,-4.874,0.002
Tca12g00451.t1,-0.035,-2.041,0.002
Tca12g00452.t1,-0.035,-3.062,0.002
Tca12g00453.t1,-0.027,-0.502,0.004
Tca12g00454.t1,-0.06,-2.073,0.007
Tca12g00455.t1,-0.033,-5.301,0.002
Tca12g00456.t1,-0.01,-17.675,0.002
Tca12g00457.t1,-0.072,-28.074,0.007
Tca12g00458.t1,-0.036,-2.467,0.003
Tca12g00459.t1,-0.045,-6.892,0.003
Tca12g00460.t1,-0.043,-3.752,0.005
Tca12g00461.t1,-0.067,-1.457,0.01
Tca12g00463.t1,-0.062,-10.127,0.009
Tca12g00464.t1,-0.019,-4.722,0.003
Tca12g00464.t2,-0.034,-1.564,0.003
Tca12g00464.t3,-0.024,-6.289,0.002
Tca12g00465.t1,-0.032,-4.44,0.005
Tca12g00466.t1,-0.021,-12.035,0.003
Tca12g00467.t1,-0.082,-1.057,0.011
Tca12g00468.t1,-0.052,-1.288,0.009
Tca12g00469.t1,-0.044,-8.89,0.004
Tca12g00470.t1,-0.054,-6.059,0.007
Tca12g00471.t1,-0.023,-6.545,0.003
Tca12g00472.t1,-0.031,-2.727,0.002
Tca11g00880.t1,-0.017,-9.403,0.001
Tca11g00881.t1,-0.023,-5.814,0.001
Tca11g00882.t1,-0.018,-14.732,0.001
Tca11g00883.t1,-0.042,-7.377,0.004
Tca11g00884.t1,-0.041,-7.836,0.003
Tca11g00884.t2,-0.047,-11.049,0.004
Tca11g00885.t1,-0.072,-0.822,0.01
Tca11g00886.t1,-0.038,-3.041,0.004
Tca11g00887.t1,-0.024,-1.948,0.001
Tca11g00888.t1,-0.01,-5.808,0.003
Tca11g00889.t1,-0.02,-15.111,0.002
Tca11g00890.t1,-0.014,-4.847,0.002
Tca12g00942.t1,-0.042,-4.833,0.003
Tca12g00943.t1,-0.043,-2.687,0.005
Tca12g00944.t1,-0.034,-6.865,0.003
Tca12g00945.t1,-0.024,-11.818,0.004
Tca12g00946.t1,-0.031,-8.999,0.004
Tca12g00947.t1,-0.042,-0.413,0.006
Tca12g00948.t1,-0.02,-33.926,0.002
Tca12g00949.t1,-0.049,-8.003,0.004
Tca12g00950.t1,-0.02,-9.957,0.008
Tca12g00951.t1,-0.021,-1.093,0.003
Tca12g00952.t1,-0.018,-1.924,0.003
Tca12g00953.t1,-0.018,-1.586,0.003
Tca12g00954.t1,-0.064,-2.089,0.018
Tca12g00956.t1,-0.042,-4.017,0.003
Tca12g00957.t1,-0.016,-5.069,0.002
Tca12g00958.t1,-0.023,-5.831,0.003
Tca12g00959.t1,-0.022,-4.965,0.001
Tca12g00960.t1,-0.052,-1.399,0.004
Tca12g00961.t1,-0.015,-16.034,0.002
Tca12g00998.t1,-0.053,-1.403,0.007
Tca12g00999.t1,-0.05,-3.044,0.006
Tca12g01000.t1,-0.061,-7.127,0.004
Tca12g01001.t1,-0.066,-1.365,0.006
Tca12g01002.t1,-0.018,-4.925,0.002
Tca12g01003.t1,-0.08,-6.744,0.007
Tca12g01005.t1,-0.017,-14.93,0.002
Tca12g01005.t2,-0.016,-21.22,0.002
Tca12g01005.t3,-0.014,-21.607,0.002
Tca12g01006.t1,-0.036,-6.381,0.005
Tca12g01007.t1,-0.043,-8.341,0.005
Tca12g01008.t1,-0.025,-6.957,0.002
Tca12g00474.t1,-0.077,-4.139,0.012
Tca12g00475.t1,-0.045,-0.131,0.008
Tca12g00476.t1,-0.059,-4.071,0.008
Tca12g00477.t1,-0.042,-3.091,0.006
Tca12g00478.t1,-0.066,-0.608,0.014
Tca12g00479.t1,-0.063,-3.041,0.02
Tca12g00600.t1,-0.062,-1.758,0.006
Tca12g00601.t1,-0.056,-6.137,0.007
Tca12g00602.t1,-0.069,-2.267,0.009
Tca12g00603.t1,-0.063,-1.129,0.008
Tca12g00604.t1,-0.027,-5.458,0.002
Tca12g00605.t1,-0.036,-4.856,0.003
Tca12g00889.t1,-0.039,-1.827,0.003
